id,code,name,user_type_id:id,reconcile,account_type,parent_id:id,chart_template_id:id
6-411-016,6-411-016,Depresiasi,account.data_account_type_expenses,FALSE,normal,6-51,fal_l10n_id
6-900-000,6-900-000,Biaya Lain-lain,account.data_account_type_expenses,FALSE,normal,6-90,fal_l10n_id
8-110-001,8-110-001,Pendapatan Bunga,account.data_account_type_other_income,FALSE,normal,8-11,fal_l10n_id
8-110-002,8-110-002,Pendapatan Deposit,account.data_account_type_other_income,FALSE,normal,8-11,fal_l10n_id
8-110-003,8-110-003,Keuntungan Selisih Kurs,account.data_account_type_other_income,FALSE,normal,8-11,fal_l10n_id
8-110-004,8-110-004,Pendapatan Lain,account.data_account_type_other_income,FALSE,normal,8-11,fal_l10n_id
8-110-009,8-110-009,Keuntungan Atas Penjualan Aktiva Tetap,account.data_account_type_other_income,FALSE,normal,8-11,fal_l10n_id
9-110-001,9-110-001,Beban Bunga,account.data_account_type_expenses,FALSE,normal,9-11,fal_l10n_id
9-110-002,9-110-002,Beban Administrasi Bank,account.data_account_type_expenses,FALSE,normal,9-11,fal_l10n_id
9-110-003,9-110-003,Kerugian Selisih Kurs,account.data_account_type_expenses,FALSE,normal,9-11,fal_l10n_id
9-110-009,9-110-009,Kerugian Atas Penjualan Aktiva Tetap,account.data_account_type_expenses,FALSE,normal,9-11,fal_l10n_id
